epoch,class_name,class_idx,f1,precision,recall
1,Urban fabric,0,0.2125,0.14214,0.420792
1,Industrial or commercial units,1,0.07767,0.070175,0.086957
1,Arable land,2,0.446372,0.448494,0.44427
1,Permanent crops,3,0.143198,0.078671,0.79646
1,Pastures,4,0.100746,0.11588,0.089109
1,Complex cultivation patterns,5,0.211946,0.255814,0.180921
1,Land principally occupied by agriculture,6,0.0,0.0,0.0
1,Agro-forestry areas,7,0.108108,0.066667,0.285714
1,Broad-leaved forest,8,0.044444,0.207547,0.024887
1,Coniferous forest,9,0.053131,0.358974,0.028689
1,Mixed forest,10,0.446552,0.39542,0.512871
1,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
1,"Moors, heathland and sclerophyllous vegetation",12,0.046709,0.025882,0.23913
1,"Transitional woodland, shrub",13,0.446891,0.326087,0.709877
1,"Beaches, dunes, sands",14,0.019048,0.009709,0.5
1,Inland wetlands,15,0.111628,0.078947,0.190476
1,Coastal wetlands,16,0.008574,0.004334,0.4
1,Inland waters,17,0.073563,0.063241,0.087912
1,Marine waters,18,0.468085,0.859375,0.321637
2,Urban fabric,0,0.0,0.0,0.0
2,Industrial or commercial units,1,0.0,0.0,0.0
2,Arable land,2,0.075075,0.862069,0.039246
2,Permanent crops,3,0.0,0.0,0.0
2,Pastures,4,0.0,0.0,0.0
2,Complex cultivation patterns,5,0.0,0.0,0.0
2,Land principally occupied by agriculture,6,0.0,0.0,0.0
2,Agro-forestry areas,7,0.0,0.0,0.0
2,Broad-leaved forest,8,0.0,0.0,0.0
2,Coniferous forest,9,0.0,0.0,0.0
2,Mixed forest,10,0.0,0.0,0.0
2,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
2,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
2,"Transitional woodland, shrub",13,0.0,0.0,0.0
2,"Beaches, dunes, sands",14,0.0,0.0,0.0
2,Inland wetlands,15,0.0,0.0,0.0
2,Coastal wetlands,16,0.0,0.0,0.0
2,Inland waters,17,0.0,0.0,0.0
2,Marine waters,18,0.0,0.0,0.0
3,Urban fabric,0,0.0,0.0,0.0
3,Industrial or commercial units,1,0.0,0.0,0.0
3,Arable land,2,0.711242,0.668508,0.759812
3,Permanent crops,3,0.0,0.0,0.0
3,Pastures,4,0.0,0.0,0.0
3,Complex cultivation patterns,5,0.0,0.0,0.0
3,Land principally occupied by agriculture,6,0.0,0.0,0.0
3,Agro-forestry areas,7,0.0,0.0,0.0
3,Broad-leaved forest,8,0.0,0.0,0.0
3,Coniferous forest,9,0.0,0.0,0.0
3,Mixed forest,10,0.0,0.0,0.0
3,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
3,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
3,"Transitional woodland, shrub",13,0.0,0.0,0.0
3,"Beaches, dunes, sands",14,0.0,0.0,0.0
3,Inland wetlands,15,0.0,0.0,0.0
3,Coastal wetlands,16,0.0,0.0,0.0
3,Inland waters,17,0.0,0.0,0.0
3,Marine waters,18,0.0,0.0,0.0
4,Urban fabric,0,0.019608,1.0,0.009901
4,Industrial or commercial units,1,0.0,0.0,0.0
4,Arable land,2,0.751307,0.716524,0.789639
4,Permanent crops,3,0.0,0.0,0.0
4,Pastures,4,0.0,0.0,0.0
4,Complex cultivation patterns,5,0.074303,0.631579,0.039474
4,Land principally occupied by agriculture,6,0.0,0.0,0.0
4,Agro-forestry areas,7,0.0,0.0,0.0
4,Broad-leaved forest,8,0.0,0.0,0.0
4,Coniferous forest,9,0.514286,0.765182,0.387295
4,Mixed forest,10,0.480537,0.745833,0.354455
4,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
4,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
4,"Transitional woodland, shrub",13,0.073501,0.612903,0.039095
4,"Beaches, dunes, sands",14,0.0,0.0,0.0
4,Inland wetlands,15,0.0,0.0,0.0
4,Coastal wetlands,16,0.0,0.0,0.0
4,Inland waters,17,0.0,0.0,0.0
4,Marine waters,18,0.849673,0.962963,0.760234
5,Urban fabric,0,0.375,0.558824,0.282178
5,Industrial or commercial units,1,0.0,0.0,0.0
5,Arable land,2,0.754606,0.711111,0.803768
5,Permanent crops,3,0.0,0.0,0.0
5,Pastures,4,0.063694,0.909091,0.033003
5,Complex cultivation patterns,5,0.397749,0.462882,0.348684
5,Land principally occupied by agriculture,6,0.0,0.0,0.0
5,Agro-forestry areas,7,0.0,0.0,0.0
5,Broad-leaved forest,8,0.022272,0.714286,0.011312
5,Coniferous forest,9,0.627936,0.791277,0.520492
5,Mixed forest,10,0.566085,0.76431,0.449505
5,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
5,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
5,"Transitional woodland, shrub",13,0.265372,0.621212,0.168724
5,"Beaches, dunes, sands",14,0.0,0.0,0.0
5,Inland wetlands,15,0.0,0.0,0.0
5,Coastal wetlands,16,0.0,0.0,0.0
5,Inland waters,17,0.0,0.0,0.0
5,Marine waters,18,0.846906,0.955882,0.760234
6,Urban fabric,0,0.490683,0.658333,0.391089
6,Industrial or commercial units,1,0.0,0.0,0.0
6,Arable land,2,0.734728,0.786738,0.689168
6,Permanent crops,3,0.0,0.0,0.0
6,Pastures,4,0.421053,0.875,0.277228
6,Complex cultivation patterns,5,0.425612,0.497797,0.371711
6,Land principally occupied by agriculture,6,0.0,0.0,0.0
6,Agro-forestry areas,7,0.0,0.0,0.0
6,Broad-leaved forest,8,0.345299,0.706294,0.228507
6,Coniferous forest,9,0.614412,0.80198,0.497951
6,Mixed forest,10,0.561941,0.791367,0.435644
6,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
6,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
6,"Transitional woodland, shrub",13,0.366812,0.626866,0.259259
6,"Beaches, dunes, sands",14,0.0,0.0,0.0
6,Inland wetlands,15,0.0,0.0,0.0
6,Coastal wetlands,16,0.0,0.0,0.0
6,Inland waters,17,0.0,0.0,0.0
6,Marine waters,18,0.85342,0.963235,0.766082
7,Urban fabric,0,0.487013,0.707547,0.371287
7,Industrial or commercial units,1,0.0,0.0,0.0
7,Arable land,2,0.749169,0.795414,0.708006
7,Permanent crops,3,0.0,0.0,0.0
7,Pastures,4,0.535032,0.75,0.415842
7,Complex cultivation patterns,5,0.364444,0.561644,0.269737
7,Land principally occupied by agriculture,6,0.0,0.0,0.0
7,Agro-forestry areas,7,0.203704,0.647059,0.120879
7,Broad-leaved forest,8,0.44376,0.695652,0.325792
7,Coniferous forest,9,0.699541,0.794271,0.625
7,Mixed forest,10,0.657627,0.765789,0.576238
7,Natural grassland and sparsely vegetated areas,11,0.0,0.0,0.0
7,"Moors, heathland and sclerophyllous vegetation",12,0.0,0.0,0.0
7,"Transitional woodland, shrub",13,0.412429,0.657658,0.300412
7,"Beaches, dunes, sands",14,0.0,0.0,0.0
7,Inland wetlands,15,0.0,0.0,0.0
7,Coastal wetlands,16,0.0,0.0,0.0
